M_planet (M_Earth),M_planet (kg),Pressure (bar),Total Delta-V (km/s)
5.000000e-01,2.986000e+24,1.000000e-01,9.975008e+00
5.000000e-01,2.986000e+24,1.172102e-01,9.976662e+00
5.000000e-01,2.986000e+24,1.373824e-01,9.978601e+00
5.000000e-01,2.986000e+24,1.610262e-01,9.980873e+00
5.000000e-01,2.986000e+24,1.887392e-01,9.983534e+00
5.000000e-01,2.986000e+24,2.212216e-01,9.986651e+00
5.000000e-01,2.986000e+24,2.592944e-01,9.990303e+00
5.000000e-01,2.986000e+24,3.039195e-01,9.994580e+00
5.000000e-01,2.986000e+24,3.562248e-01,9.999589e+00
5.000000e-01,2.986000e+24,4.175319e-01,1.000545e+01
5.000000e-01,2.986000e+24,4.893901e-01,1.001232e+01
5.000000e-01,2.986000e+24,5.736153e-01,1.002036e+01
5.000000e-01,2.986000e+24,6.723358e-01,1.002976e+01
5.000000e-01,2.986000e+24,7.880463e-01,1.004077e+01
5.000000e-01,2.986000e+24,9.236709e-01,1.005364e+01
5.000000e-01,2.986000e+24,1.000000e+00,1.006087e+01
5.000000e-01,2.986000e+24,1.082637e+00,1.006868e+01
5.000000e-01,2.986000e+24,1.268961e+00,1.008626e+01
5.000000e-01,2.986000e+24,1.487352e+00,1.010679e+01
5.000000e-01,2.986000e+24,1.743329e+00,1.013075e+01
5.000000e-01,2.986000e+24,2.043360e+00,1.015868e+01
5.000000e-01,2.986000e+24,2.395027e+00,1.019124e+01
5.000000e-01,2.986000e+24,2.807216e+00,1.022912e+01
5.000000e-01,2.986000e+24,3.290345e+00,1.027315e+01
5.000000e-01,2.986000e+24,3.856620e+00,1.032423e+01
5.000000e-01,2.986000e+24,4.520354e+00,1.038340e+01
5.000000e-01,2.986000e+24,5.298317e+00,1.045175e+01
5.000000e-01,2.986000e+24,6.210169e+00,1.053050e+01
5.000000e-01,2.986000e+24,7.278954e+00,1.062091e+01
5.000000e-01,2.986000e+24,8.531679e+00,1.072423e+01
5.000000e-01,2.986000e+24,1.000000e+01,1.084167e+01
5.390948e-01,3.219474e+24,1.000000e-01,1.023883e+01
5.390948e-01,3.219474e+24,1.172102e-01,1.024039e+01
5.390948e-01,3.219474e+24,1.373824e-01,1.024223e+01
5.390948e-01,3.219474e+24,1.610262e-01,1.024438e+01
5.390948e-01,3.219474e+24,1.887392e-01,1.024690e+01
5.390948e-01,3.219474e+24,2.212216e-01,1.024985e+01
5.390948e-01,3.219474e+24,2.592944e-01,1.025331e+01
5.390948e-01,3.219474e+24,3.039195e-01,1.025736e+01
5.390948e-01,3.219474e+24,3.562248e-01,1.026210e+01
5.390948e-01,3.219474e+24,4.175319e-01,1.026766e+01
5.390948e-01,3.219474e+24,4.893901e-01,1.027416e+01
5.390948e-01,3.219474e+24,5.736153e-01,1.028177e+01
5.390948e-01,3.219474e+24,6.723358e-01,1.029067e+01
5.390948e-01,3.219474e+24,7.880463e-01,1.030108e+01
5.390948e-01,3.219474e+24,9.236709e-01,1.031326e+01
5.390948e-01,3.219474e+24,1.000000e+00,1.032010e+01
5.390948e-01,3.219474e+24,1.082637e+00,1.032750e+01
5.390948e-01,3.219474e+24,1.268961e+00,1.034413e+01
5.390948e-01,3.219474e+24,1.487352e+00,1.036356e+01
5.390948e-01,3.219474e+24,1.743329e+00,1.038622e+01
5.390948e-01,3.219474e+24,2.043360e+00,1.041264e+01
5.390948e-01,3.219474e+24,2.395027e+00,1.044342e+01
5.390948e-01,3.219474e+24,2.807216e+00,1.047923e+01
5.390948e-01,3.219474e+24,3.290345e+00,1.052083e+01
5.390948e-01,3.219474e+24,3.856620e+00,1.056909e+01
5.390948e-01,3.219474e+24,4.520354e+00,1.062495e+01
5.390948e-01,3.219474e+24,5.298317e+00,1.068945e+01
5.390948e-01,3.219474e+24,6.210169e+00,1.076371e+01
5.390948e-01,3.219474e+24,7.278954e+00,1.084888e+01
5.390948e-01,3.219474e+24,8.531679e+00,1.094615e+01
5.390948e-01,3.219474e+24,1.000000e+01,1.105657e+01
5.812463e-01,3.471203e+24,1.000000e-01,1.050979e+01
5.812463e-01,3.471203e+24,1.172102e-01,1.051127e+01
5.812463e-01,3.471203e+24,1.373824e-01,1.051301e+01
5.812463e-01,3.471203e+24,1.610262e-01,1.051504e+01
5.812463e-01,3.471203e+24,1.887392e-01,1.051743e+01
5.812463e-01,3.471203e+24,2.212216e-01,1.052022e+01
5.812463e-01,3.471203e+24,2.592944e-01,1.052349e+01
5.812463e-01,3.471203e+24,3.039195e-01,1.052732e+01
5.812463e-01,3.471203e+24,3.562248e-01,1.053180e+01
5.812463e-01,3.471203e+24,4.175319e-01,1.053705e+01
5.812463e-01,3.471203e+24,4.893901e-01,1.054320e+01
5.812463e-01,3.471203e+24,5.736153e-01,1.055039e+01
5.812463e-01,3.471203e+24,6.723358e-01,1.055881e+01
5.812463e-01,3.471203e+24,7.880463e-01,1.056865e+01
5.812463e-01,3.471203e+24,9.236709e-01,1.058016e+01
5.812463e-01,3.471203e+24,1.000000e+00,1.058663e+01
5.812463e-01,3.471203e+24,1.082637e+00,1.059362e+01
5.812463e-01,3.471203e+24,1.268961e+00,1.060933e+01
5.812463e-01,3.471203e+24,1.487352e+00,1.062768e+01
5.812463e-01,3.471203e+24,1.743329e+00,1.064909e+01
5.812463e-01,3.471203e+24,2.043360e+00,1.067405e+01
5.812463e-01,3.471203e+24,2.395027e+00,1.070311e+01
5.812463e-01,3.471203e+24,2.807216e+00,1.073690e+01
5.812463e-01,3.471203e+24,3.290345e+00,1.077616e+01
5.812463e-01,3.471203e+24,3.856620e+00,1.082167e+01
