M_planet (M_Earth),M_planet (kg),Pressure (bar),Feasible,Launch Mass (kg),Num Stages,Mission Reliability
5.000000e-01,2.986000e+24,1.000000e-01,1,1.629222e+04,2,0.940900
5.000000e-01,2.986000e+24,1.172102e-01,1,1.630107e+04,2,0.940900
5.000000e-01,2.986000e+24,1.373824e-01,1,1.631145e+04,2,0.940900
5.000000e-01,2.986000e+24,1.610262e-01,1,1.632362e+04,2,0.940900
5.000000e-01,2.986000e+24,1.887392e-01,1,1.633789e+04,2,0.940900
5.000000e-01,2.986000e+24,2.212216e-01,1,1.635462e+04,2,0.940900
5.000000e-01,2.986000e+24,2.592944e-01,1,1.637425e+04,2,0.940900
5.000000e-01,2.986000e+24,3.039195e-01,1,1.639727e+04,2,0.940900
5.000000e-01,2.986000e+24,3.562248e-01,1,1.642429e+04,2,0.940900
5.000000e-01,2.986000e+24,4.175319e-01,1,1.645598e+04,2,0.940900
5.000000e-01,2.986000e+24,4.893901e-01,1,1.649318e+04,2,0.940900
5.000000e-01,2.986000e+24,5.736153e-01,1,1.653684e+04,2,0.940900
5.000000e-01,2.986000e+24,6.723358e-01,1,1.658810e+04,2,0.940900
5.000000e-01,2.986000e+24,7.880463e-01,1,1.664830e+04,2,0.940900
5.000000e-01,2.986000e+24,9.236709e-01,1,1.671903e+04,2,0.940900
5.000000e-01,2.986000e+24,1.000000e+00,1,1.675892e+04,2,0.940900
5.000000e-01,2.986000e+24,1.082637e+00,1,1.680216e+04,2,0.940900
5.000000e-01,2.986000e+24,1.268961e+00,1,1.689990e+04,2,0.940900
5.000000e-01,2.986000e+24,1.487352e+00,1,1.701487e+04,2,0.940900
5.000000e-01,2.986000e+24,1.743329e+00,1,1.715020e+04,2,0.940900
5.000000e-01,2.986000e+24,2.043360e+00,1,1.730960e+04,2,0.940900
5.000000e-01,2.986000e+24,2.395027e+00,1,1.749747e+04,2,0.940900
5.000000e-01,2.986000e+24,2.807216e+00,1,1.771910e+04,2,0.940900
5.000000e-01,2.986000e+24,3.290345e+00,1,1.798078e+04,2,0.940900
5.000000e-01,2.986000e+24,3.856620e+00,1,1.829006e+04,2,0.940900
5.000000e-01,2.986000e+24,4.520354e+00,1,1.865598e+04,2,0.940900
5.000000e-01,2.986000e+24,5.298317e+00,1,1.908940e+04,2,0.940900
5.000000e-01,2.986000e+24,6.210169e+00,1,1.960332e+04,2,0.940900
5.000000e-01,2.986000e+24,7.278954e+00,1,2.021328e+04,2,0.940900
5.000000e-01,2.986000e+24,8.531679e+00,1,2.093772e+04,2,0.940900
5.000000e-01,2.986000e+24,1.000000e+01,1,2.179831e+04,2,0.940900
5.390948e-01,3.219474e+24,1.000000e-01,1,1.777642e+04,2,0.940900
5.390948e-01,3.219474e+24,1.172102e-01,1,1.778569e+04,2,0.940900
5.390948e-01,3.219474e+24,1.373824e-01,1,1.779656e+04,2,0.940900
5.390948e-01,3.219474e+24,1.610262e-01,1,1.780930e+04,2,0.940900
5.390948e-01,3.219474e+24,1.887392e-01,1,1.782425e+04,2,0.940900
5.390948e-01,3.219474e+24,2.212216e-01,1,1.784178e+04,2,0.940900
5.390948e-01,3.219474e+24,2.592944e-01,1,1.786233e+04,2,0.940900
5.390948e-01,3.219474e+24,3.039195e-01,1,1.788644e+04,2,0.940900
5.390948e-01,3.219474e+24,3.562248e-01,1,1.791472e+04,2,0.940900
5.390948e-01,3.219474e+24,4.175319e-01,1,1.794790e+04,2,0.940900
5.390948e-01,3.219474e+24,4.893901e-01,1,1.798684e+04,2,0.940900
5.390948e-01,3.219474e+24,5.736153e-01,1,1.803253e+04,2,0.940900
5.390948e-01,3.219474e+24,6.723358e-01,1,1.808617e+04,2,0.940900
5.390948e-01,3.219474e+24,7.880463e-01,1,1.814916e+04,2,0.940900
5.390948e-01,3.219474e+24,9.236709e-01,1,1.822313e+04,2,0.940900
5.390948e-01,3.219474e+24,1.000000e+00,1,1.826484e+04,2,0.940900
5.390948e-01,3.219474e+24,1.082637e+00,1,1.831005e+04,2,0.940900
5.390948e-01,3.219474e+24,1.268961e+00,1,1.841220e+04,2,0.940900
5.390948e-01,3.219474e+24,1.487352e+00,1,1.853233e+04,2,0.940900
5.390948e-01,3.219474e+24,1.743329e+00,1,1.867364e+04,2,0.940900
5.390948e-01,3.219474e+24,2.043360e+00,1,1.884000e+04,2,0.940900
5.390948e-01,3.219474e+24,2.395027e+00,1,1.903594e+04,2,0.940900
5.390948e-01,3.219474e+24,2.807216e+00,1,1.926690e+04,2,0.940900
5.390948e-01,3.219474e+24,3.290345e+00,1,1.953934e+04,2,0.940900
5.390948e-01,3.219474e+24,3.856620e+00,1,1.986099e+04,2,0.940900
5.390948e-01,3.219474e+24,4.520354e+00,1,2.024105e+04,2,0.940900
5.390948e-01,3.219474e+24,5.298317e+00,1,2.069052e+04,2,0.940900
5.390948e-01,3.219474e+24,6.210169e+00,1,2.122250e+04,2,0.940900
5.390948e-01,3.219474e+24,7.278954e+00,1,2.185252e+04,2,0.940900
5.390948e-01,3.219474e+24,8.531679e+00,1,2.259887e+04,2,0.940900
5.390948e-01,3.219474e+24,1.000000e+01,1,2.348277e+04,2,0.940900
5.812463e-01,3.471203e+24,1.000000e-01,1,1.946661e+04,2,0.940900
5.812463e-01,3.471203e+24,1.172102e-01,1,1.947635e+04,2,0.940900
5.812463e-01,3.471203e+24,1.373824e-01,1,1.948777e+04,2,0.940900
5.812463e-01,3.471203e+24,1.610262e-01,1,1.950117e+04,2,0.940900
5.812463e-01,3.471203e+24,1.887392e-01,1,1.951687e+04,2,0.940900
5.812463e-01,3.471203e+24,2.212216e-01,1,1.953529e+04,2,0.940900
5.812463e-01,3.471203e+24,2.592944e-01,1,1.955688e+04,2,0.940900
5.812463e-01,3.471203e+24,3.039195e-01,1,1.958221e+04,2,0.940900
