Planetary Mass (M_Earth),Planetary Mass (kg),Rayleigh Number,log10_Ra,above_Ra_crit,above_Ra_robust
0.05,2.9860000000000002e+23,428217.3587132469,5.631664268377787,True,False
0.15025125628140704,8.973005025125629e+23,2810506.100664382,6.448784532337372,True,True
0.2505025125628141,1.4960010050251257e+24,6735878.244973426,6.8283942284301204,True,True
0.3507537688442211,2.0947015075376885e+24,11977869.386726713,7.078379572988203,True,True
0.4510050251256281,2.6934020100502513e+24,18410929.80585728,7.265075722200707,True,True
0.5512562814070352,3.2921025125628144e+24,25950165.589736216,7.414140133455353,True,True
0.6515075376884423,3.8908030150753775e+24,34532483.37432824,7.5382278113927805,True,True
0.7517587939698492,4.48950351758794e+24,44108249.776622914,7.644519825236234,True,True
0.8520100502512563,5.088204020100503e+24,54636897.22691699,7.737486028237717,True,True
0.9522613065326634,5.686904522613066e+24,66084339.970883414,7.820098556762593,True,True
1.0525125628140704,6.285605025125629e+24,78421333.68663584,7.894434223934875,True,True
1.1527638190954774,6.884305527638192e+24,91622373.37522964,7.962001537499173,True,True
1.2530150753768845,7.483006030150755e+24,105664919.70947754,8.02393082737059,True,True
1.3532663316582916,8.081706532663318e+24,120528836.618216,8.08109096463628,True,True
1.4535175879396984,8.68040703517588e+24,136195970.57155216,8.134164258939274,True,True
1.5537688442211055,9.279107537688443e+24,152649828.2760029,8.183696320073748,True,True
1.6540201005025126,9.877808040201005e+24,169875324.72818214,8.230130299924644,True,True
1.7542713567839197,1.047650854271357e+25,187858582.82923877,8.273831041774843,True,True
1.8545226130653267,1.107520904522613e+25,206586771.59660792,8.31510250882673,True,True
1.9547738693467336,1.1673909547738693e+25,226047973.80877796,8.354200618569557,True,True
2.0550251256281404,1.2272610050251255e+25,246231076.4627527,8.39134286372356,True,True
2.1552763819095477,1.287131055276382e+25,267125679.1695995,8.426715639371412,True,True
2.2555276381909546,1.3470011055276381e+25,288722016.837553,8.46047990278088,True,True
2.3557788944723614,1.4068711557788943e+25,311010893.8671461,8.492775601449756,True,True
2.4560301507537687,1.4667412060301507e+25,333983627.7191687,8.523725177693306,True,True
2.5562814070351756,1.526611256281407e+25,357632000.18625593,8.553436371652213,True,True
2.656532663316583,1.5864813065326633e+25,381948215.05098903,8.582004484790934,True,True
2.7567839195979897,1.6463513567839195e+25,406924861.08051205,8.60951422389175,True,True
2.8570351758793966,1.7062214070351757e+25,432554879.51275504,8.63604121551773,True,True
2.957286432160804,1.7660914572864322e+25,458831535.34847033,8.661653259179463,True,True
3.0575376884422107,1.8259615075376884e+25,485748391.88800657,8.686411371504818,True,True
3.157788944723618,1.8858315577889448e+25,513299288.0503812,8.710370661891767,True,True
3.258040201005025,1.945701608040201e+25,541478318.0908797,8.733581071262336,True,True
