M_planet (M_Earth),M_planet (kg),Pressure (bar),Launch Mass (tons)
5.000000e-01,2.986000e+24,1.000000e-01,1.629222e+01
5.000000e-01,2.986000e+24,1.172102e-01,1.630107e+01
5.000000e-01,2.986000e+24,1.373824e-01,1.631145e+01
5.000000e-01,2.986000e+24,1.610262e-01,1.632362e+01
5.000000e-01,2.986000e+24,1.887392e-01,1.633789e+01
5.000000e-01,2.986000e+24,2.212216e-01,1.635462e+01
5.000000e-01,2.986000e+24,2.592944e-01,1.637425e+01
5.000000e-01,2.986000e+24,3.039195e-01,1.639727e+01
5.000000e-01,2.986000e+24,3.562248e-01,1.642429e+01
5.000000e-01,2.986000e+24,4.175319e-01,1.645598e+01
5.000000e-01,2.986000e+24,4.893901e-01,1.649318e+01
5.000000e-01,2.986000e+24,5.736153e-01,1.653684e+01
5.000000e-01,2.986000e+24,6.723358e-01,1.658810e+01
5.000000e-01,2.986000e+24,7.880463e-01,1.664830e+01
5.000000e-01,2.986000e+24,9.236709e-01,1.671903e+01
5.000000e-01,2.986000e+24,1.000000e+00,1.675892e+01
5.000000e-01,2.986000e+24,1.082637e+00,1.680216e+01
5.000000e-01,2.986000e+24,1.268961e+00,1.689990e+01
5.000000e-01,2.986000e+24,1.487352e+00,1.701487e+01
5.000000e-01,2.986000e+24,1.743329e+00,1.715020e+01
5.000000e-01,2.986000e+24,2.043360e+00,1.730960e+01
5.000000e-01,2.986000e+24,2.395027e+00,1.749747e+01
5.000000e-01,2.986000e+24,2.807216e+00,1.771910e+01
5.000000e-01,2.986000e+24,3.290345e+00,1.798078e+01
5.000000e-01,2.986000e+24,3.856620e+00,1.829006e+01
5.000000e-01,2.986000e+24,4.520354e+00,1.865598e+01
5.000000e-01,2.986000e+24,5.298317e+00,1.908940e+01
5.000000e-01,2.986000e+24,6.210169e+00,1.960332e+01
5.000000e-01,2.986000e+24,7.278954e+00,2.021328e+01
5.000000e-01,2.986000e+24,8.531679e+00,2.093772e+01
5.000000e-01,2.986000e+24,1.000000e+01,2.179831e+01
5.390948e-01,3.219474e+24,1.000000e-01,1.777642e+01
5.390948e-01,3.219474e+24,1.172102e-01,1.778569e+01
5.390948e-01,3.219474e+24,1.373824e-01,1.779656e+01
5.390948e-01,3.219474e+24,1.610262e-01,1.780930e+01
5.390948e-01,3.219474e+24,1.887392e-01,1.782425e+01
5.390948e-01,3.219474e+24,2.212216e-01,1.784178e+01
5.390948e-01,3.219474e+24,2.592944e-01,1.786233e+01
5.390948e-01,3.219474e+24,3.039195e-01,1.788644e+01
5.390948e-01,3.219474e+24,3.562248e-01,1.791472e+01
5.390948e-01,3.219474e+24,4.175319e-01,1.794790e+01
5.390948e-01,3.219474e+24,4.893901e-01,1.798684e+01
5.390948e-01,3.219474e+24,5.736153e-01,1.803253e+01
5.390948e-01,3.219474e+24,6.723358e-01,1.808617e+01
5.390948e-01,3.219474e+24,7.880463e-01,1.814916e+01
5.390948e-01,3.219474e+24,9.236709e-01,1.822313e+01
5.390948e-01,3.219474e+24,1.000000e+00,1.826484e+01
5.390948e-01,3.219474e+24,1.082637e+00,1.831005e+01
5.390948e-01,3.219474e+24,1.268961e+00,1.841220e+01
5.390948e-01,3.219474e+24,1.487352e+00,1.853233e+01
5.390948e-01,3.219474e+24,1.743329e+00,1.867364e+01
5.390948e-01,3.219474e+24,2.043360e+00,1.884000e+01
5.390948e-01,3.219474e+24,2.395027e+00,1.903594e+01
5.390948e-01,3.219474e+24,2.807216e+00,1.926690e+01
5.390948e-01,3.219474e+24,3.290345e+00,1.953934e+01
5.390948e-01,3.219474e+24,3.856620e+00,1.986099e+01
5.390948e-01,3.219474e+24,4.520354e+00,2.024105e+01
5.390948e-01,3.219474e+24,5.298317e+00,2.069052e+01
