M_planet (M_Earth),M_planet (kg),Pressure (bar),Num Stages
5.000000e-01,2.986000e+24,1.000000e-01,2
5.000000e-01,2.986000e+24,1.172102e-01,2
5.000000e-01,2.986000e+24,1.373824e-01,2
5.000000e-01,2.986000e+24,1.610262e-01,2
5.000000e-01,2.986000e+24,1.887392e-01,2
5.000000e-01,2.986000e+24,2.212216e-01,2
5.000000e-01,2.986000e+24,2.592944e-01,2
5.000000e-01,2.986000e+24,3.039195e-01,2
5.000000e-01,2.986000e+24,3.562248e-01,2
5.000000e-01,2.986000e+24,4.175319e-01,2
5.000000e-01,2.986000e+24,4.893901e-01,2
5.000000e-01,2.986000e+24,5.736153e-01,2
5.000000e-01,2.986000e+24,6.723358e-01,2
5.000000e-01,2.986000e+24,7.880463e-01,2
5.000000e-01,2.986000e+24,9.236709e-01,2
5.000000e-01,2.986000e+24,1.000000e+00,2
5.000000e-01,2.986000e+24,1.082637e+00,2
5.000000e-01,2.986000e+24,1.268961e+00,2
5.000000e-01,2.986000e+24,1.487352e+00,2
5.000000e-01,2.986000e+24,1.743329e+00,2
5.000000e-01,2.986000e+24,2.043360e+00,2
5.000000e-01,2.986000e+24,2.395027e+00,2
5.000000e-01,2.986000e+24,2.807216e+00,2
5.000000e-01,2.986000e+24,3.290345e+00,2
5.000000e-01,2.986000e+24,3.856620e+00,2
5.000000e-01,2.986000e+24,4.520354e+00,2
5.000000e-01,2.986000e+24,5.298317e+00,2
5.000000e-01,2.986000e+24,6.210169e+00,2
5.000000e-01,2.986000e+24,7.278954e+00,2
5.000000e-01,2.986000e+24,8.531679e+00,2
5.000000e-01,2.986000e+24,1.000000e+01,2
5.390948e-01,3.219474e+24,1.000000e-01,2
5.390948e-01,3.219474e+24,1.172102e-01,2
5.390948e-01,3.219474e+24,1.373824e-01,2
5.390948e-01,3.219474e+24,1.610262e-01,2
5.390948e-01,3.219474e+24,1.887392e-01,2
5.390948e-01,3.219474e+24,2.212216e-01,2
5.390948e-01,3.219474e+24,2.592944e-01,2
5.390948e-01,3.219474e+24,3.039195e-01,2
5.390948e-01,3.219474e+24,3.562248e-01,2
5.390948e-01,3.219474e+24,4.175319e-01,2
5.390948e-01,3.219474e+24,4.893901e-01,2
5.390948e-01,3.219474e+24,5.736153e-01,2
5.390948e-01,3.219474e+24,6.723358e-01,2
5.390948e-01,3.219474e+24,7.880463e-01,2
5.390948e-01,3.219474e+24,9.236709e-01,2
5.390948e-01,3.219474e+24,1.000000e+00,2
